,Unnamed: 0,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
38937,38937,4upw9RT8Cs96EQhCuoNryV,The Frights,You Are Going to Hate This,You Are Going to Hate This,59,186559,False,0.565,0.762,9,-7.713,1,0.0309,0.00546,0.169,0.623,0.63,99.932,4,garage
34914,34914,0accUS40FDGknFOcwbnDiu,Kailash Kher,Mirchi,Nee Choopula,33,58809,False,0.573,0.529,9,-9.441,1,0.0365,0.561,0.000246,0.0979,0.308,167.939,1,folk
49269,49269,3gj1uVEbk65EZyd2bGu0QS,B-Front,Dark Moon,Dark Moon - Radio Edit,24,180000,False,0.246,0.763,7,-4.776,1,0.046,0.0592,0.175,0.183,0.0677,149.655,4,hardstyle
63083,63083,6M2J8MffpkAQRjnF7xZ8BR,[Alexandros],TOKYO - HALLOWEEN -,ムーンソング,0,260693,False,0.538,0.919,8,-3.395,1,0.0389,0.00262,0.000175,0.178,0.658,134.014,4,j-rock
31094,31094,3dKlTiPC2NTfrnlmM43TuX,Wisin & Yandel,Perreo Tenebroso Vol. 2,Pam Pam,0,227280,False,0.874,0.69,10,-6.373,1,0.114,0.121,0.0,0.249,0.735,95.025,4,electro
31451,31451,0g4fzRkbLeCDUCoe5iUOcf,Lykke Li,so sad so sexy,sex money feelings die,74,139840,True,0.789,0.534,8,-6.347,0,0.0709,0.323,3.42e-06,0.0645,0.631,134.055,4,electro
71965,71965,72hpTHMLFrO4ErhSQl2FhZ,Van Halen,Balance,Can't Stop Lovin' You,63,247466,False,0.592,0.898,9,-5.194,1,0.0358,0.143,2.29e-06,0.229,0.537,118.006,4,metal
63079,63079,708feUe50Ed8N6zilSiSQM,Kiro Akiyama,From DROPOUT,Caffeine,59,243253,False,0.73,0.455,6,-5.467,1,0.0396,0.00372,0.0118,0.0649,0.763,133.996,4,j-rock
72449,72449,2fZeFBqhR1miYusitKjQls,bloodsimple,Metal,Dead Man Walking,0,237693,True,0.54,0.98,1,-3.463,1,0.0823,0.000169,1.56e-06,0.319,0.388,107.767,4,metalcore
13451,13451,6hqXjngqrBWFfsD3rREM9C,Aaron Smith;Malik Hart,Don't You Know - Single,Don't You Know - Live Bass Mix,24,513953,False,0.71,0.77,6,-4.839,0,0.189,0.181,0.00629,0.685,0.462,129.025,4,chicago-house
39377,39377,0KF7oxjAZ2upNsW6m30iT5,Hans Zimmer;Richard Harvey,Hans Zimmer: Epic Scores,Fructus Gravis,21,169560,False,0.0892,0.117,0,-20.242,1,0.0469,0.591,0.812,0.324,0.0368,72.35,4,german
68981,68981,0QpaT9XONsybItcUX7zogF,C.R.O,C.R.O - Mdbcrew Vol 2,Mi Chaqueta de Cuero,39,175177,True,0.735,0.509,5,-8.174,0,0.0684,0.773,0.0484,0.0948,0.32,137.068,4,latino
30140,30140,2uAl7AJJsYCCo2pqcSQI7Y,Jecin George;Pearle Maaney;Srinish Aravind,Chellakuttiye (Avastha Love Song),Chellakuttiye (Avastha Love Song),57,225585,False,0.436,0.544,3,-7.268,0,0.0451,0.543,0.00489,0.17,0.313,169.955,4,edm
100486,100486,1p273HWLXMhtIpc9ur8UY0,Los Caligaris;Ciro y los Persas,Salva,Queda en Esta Noche,37,150092,False,0.582,0.918,2,-5.681,0,0.0406,0.00365,1.37e-06,0.187,0.939,168.014,4,ska
82432,82432,4e0PKxOa8coog2w9UXiVe7,Teenage Bottlerocket,Stay Rad!,Death Kart,24,156702,False,0.415,0.904,11,-3.603,0,0.0385,7.66e-05,0.000942,0.324,0.778,175.071,4,power-pop
99860,99860,3iewNLhxQyJXdYVYFKj86Y,Prateek Kuhad,Prateek Kuhad on Audiotree Live,cold / mess - Audiotree Live Version,33,260424,False,0.5,0.0981,10,-13.88,1,0.0412,0.926,0.000938,0.115,0.324,148.376,3,singer-songwriter
77781,77781,2rvpwtwztUzn1OagZOYbAT,Art Popular,Nova Bis - Art Popular (Dois CDs),Quando Voce Me Beija,43,250560,False,0.69,0.706,4,-8.519,1,0.0328,0.681,4.43e-06,0.13,0.881,134.083,4,pagode
65002,65002,5aucVLKiumD89mxVCB4zvS,Crush;j-hope,Rush Hour,Rush Hour (Feat. j-hope of BTS),83,177302,False,0.738,0.714,0,-5.235,1,0.249,0.157,0.0,0.31,0.74,95.035,4,k-pop
94341,94341,1BaPytPRdogDnpv6nnqjIf,Fresco Trey,Hip Hop Slow Jamz,Need You,0,173065,True,0.718,0.596,11,-8.195,0,0.053,0.073,0.0,0.0796,0.475,87.977,4,sad
72492,72492,4pKsU5Z63kNVCgf2JhWnp8,Upon A Burning Body,Straight From The Barrio,Media Blackout,27,157633,True,0.523,0.969,2,-4.9,1,0.168,2.57e-05,0.0535,0.869,0.472,117.085,4,metalcore
1994,1994,0dfu8ZDFuVmcSGzvq4vQl9,The New Mastersounds,Made for Pleasure,Cigar Time,18,413480,False,0.601,0.616,5,-10.865,1,0.0322,0.677,0.831,0.117,0.798,112.775,4,afrobeat
108660,108660,2YKYjSkkjuA9MabhTlTbIC,Carlos Gardel,Carlos Gardel - Sus Mejores Tangos,Silencio,18,171226,False,0.459,0.315,11,-9.797,0,0.0381,0.994,0.000396,0.227,0.322,113.349,4,tango
50622,50622,45LUviPG6Y7iPG1qTAMlLI,Carajo,Atrapasueños,Como Deberia Ser,23,254466,False,0.375,0.897,8,-4.183,1,0.0773,0.000435,7.41e-05,0.0351,0.381,106.502,3,heavy-metal
103698,103698,2uuGnWjM2H9SEE6GsJNZIr,Madeleine Peyroux,Jazz Noir,La Javanaise,0,252226,False,0.555,0.128,10,-16.681,1,0.0323,0.951,0.0692,0.133,0.151,107.961,3,soul
78427,78427,5RA1kFN9rXDAY4ylievepD,Marry;Balineiro,Hoch die Hände Nachtgebet,Hoch die Hände Nachtgebet,30,196000,False,0.592,0.984,11,-2.928,1,0.0607,0.00524,0.0,0.116,0.69,139.88,4,party
24683,24683,4i4PTIqLpBUVWP79RdDxbq,Omar S,Thank You for Letting Me Be Myself,Force Fed the Meds!!!!!!,7,242513,False,0.791,0.768,7,-13.163,0,0.0719,0.0162,0.941,0.111,0.183,123.015,4,detroit-techno
64130,64130,72E3wMPI5tVY7VoEWLSuhf,Ella Fitzgerald,CHRISTMAS TOP HITS 2022,Frosty The Snowman,0,131733,False,0.579,0.502,8,-7.57,1,0.0513,0.733,0.0,0.281,0.836,76.783,4,jazz
104615,104615,2J0Ba8Oexsv8XyilX76RQM,Cyclo;Zarcort,Happy Piscis,Noche de Verano,28,194339,False,0.73,0.913,3,-4.28,1,0.101,0.542,0.0,0.557,0.384,128.015,4,spanish
3370,3370,7Kak0BMKEWWKjJIL8K7LvD,Bella Poarch,New Pop Classics,Living Hell,1,174002,False,0.729,0.551,0,-6.935,0,0.056,0.598,0.0,0.176,0.312,124.044,4,alternative
50100,50100,1kKzLv3w7I5NXzEtWkSzi4,Beast In Black,Dark Connection,Hardcore,59,214134,True,0.462,0.935,6,-5.215,0,0.0417,1.44e-05,0.0415,0.111,0.721,139.961,4,heavy-metal
94335,94335,4jh5xTsu4kWGzeh4TaRs7a,KillBunk,Nascar,Nascar,61,113815,True,0.581,0.763,1,-5.694,1,0.271,0.106,0.0,0.142,0.687,171.11,3,sad
14162,14162,7qOO5OuVEs4Htb3gsMaXZB,CoComelon,CoComelon Essentials,Finger Family,49,136002,False,0.816,0.565,9,-11.555,1,0.036,0.352,1.38e-05,0.0768,0.965,119.983,4,children
80633,80633,298atiKYvG84VfbXNbZiX5,Vishal Dadlani;Alyssa Mendonsa,Break Ke Baad,Adhoore,60,264210,False,0.799,0.542,0,-7.142,1,0.0308,0.0858,1.5e-06,0.126,0.673,107.993,4,pop-film
56555,56555,4UGvqm3e7UElrrriPtnhwz,Genevieve Stokes,Habits,Habits,76,136733,False,0.663,0.287,9,-9.469,1,0.0344,0.854,6.85e-06,0.346,0.438,82.457,4,indie-pop
47444,47444,7Fhr46PhABM7LdDVLeucUP,Charlie Brown Jr.,Bocas Ordinárias,Hoje Eu Só Procuro A Minha Paz,42,252546,False,0.532,0.94,8,-3.473,1,0.144,0.0107,0.0,0.108,0.624,174.106,4,hard-rock
104385,104385,0HTXPniIdy9szOPpfafOET,Miguel Bosé;Hombres G,Papitwo (Deluxe),Lo noto (feat. Hombres G),32,249626,False,0.367,0.52,5,-6.528,1,0.0308,0.433,0.0,0.109,0.29,83.083,4,spanish
61653,61653,3seqKGlE2t491MHIdjr1Ns,Momoiro Clover Z,桃も十、番茶も出花,MOON PRIDE,20,221479,False,0.429,0.959,5,-1.472,1,0.0783,0.35,0.000368,0.0606,0.752,172.653,4,j-idol
90595,90595,4RNBNq7x5bGaXcGwuWsvfF,Los Brios,30 Anos De Exitos,Inolvidable,32,189186,False,0.739,0.726,0,-6.98,1,0.0251,0.141,0.0,0.074,0.888,96.038,4,rock-n-roll
78358,78358,3HV0CovFEnuJ8k7zVStPyM,Maurice Haase;Andi & Dörk,Heisser Sand,Heisser Sand - Mallorca Version,31,202608,False,0.684,0.879,11,-4.667,1,0.0419,0.102,0.0,0.441,0.616,137.991,4,party
59745,59745,1Eynp5iXXW6nXz5TQ4Q7Dd,Spuntic,Foundation,Lifeforms,0,190000,False,0.159,0.0736,3,-21.123,0,0.0406,0.975,0.975,0.0854,0.0355,108.997,3,iranian
99131,99131,13H3jef8bfXNHUab8NOem3,Bryan Adams,All I want For Christmas Is Music,Christmas Time,0,243057,False,0.503,0.582,0,-4.324,1,0.0253,0.472,0.0,0.103,0.326,77.321,4,singer-songwriter
29421,29421,60NXuYborLfMiTPJMcxkM5,ILLENIUM;Nina Sung,Ashes,Only One,47,252000,False,0.367,0.749,9,-4.279,1,0.187,0.135,0.0,0.102,0.286,179.791,4,dubstep
2395,2395,4ckTIXFjIHbZkK1HxisLFG,TobyMac;Leigh Nash,Santa's Christmas List,Christmas This Year,0,210680,False,0.666,0.795,11,-3.762,1,0.0302,0.0753,0.0,0.365,0.735,94.968,4,alt-rock
102487,102487,6iIpkGs78lt4HsmUFYgak8,Amy Macdonald,Santa Claus Is Coming To Town,This Christmas Day,0,218798,False,0.248,0.572,10,-6.827,1,0.0429,0.278,0.0,0.139,0.228,205.458,3,songwriter
75141,75141,2s9XDRwPTUVFYUOPqNRAl5,Dan Gibson's Solitudes,Calm the Mind,Introspection,28,317113,False,0.274,0.0373,9,-23.666,0,0.0345,0.966,0.847,0.677,0.0389,45.327,4,new-age
72535,72535,1fUacP7XP697l6ry01oO4d,Bring Me The Horizon,Sempiternal (Expanded Edition),Antivist,56,193640,True,0.494,0.99,7,-2.28,1,0.176,2.01e-05,0.0,0.127,0.283,136.995,4,metalcore
70648,70648,6aLGNejMmFuMju8CYiQTHD,Andrew Tan,唯一想了解的人,孤單的形狀,23,220630,False,0.553,0.458,9,-7.535,1,0.0251,0.597,0.0,0.153,0.258,78.005,4,mandopop
48125,48125,0LWkaEyQRkF0XAms8Bg1fC,DMX,...And Then There Was X,Party Up,72,268866,True,0.51,0.931,11,-3.302,1,0.347,0.0738,0.0,0.5,0.53,201.936,4,hardcore
92549,92549,6qs3dE67YKcxBX89d1Y3tJ,John Lindberg Trio,Made For Rock N Roll,A Young Girls Heart,25,221306,False,0.665,0.855,2,-6.069,0,0.0287,0.0331,0.00308,0.261,0.899,107.494,4,rockabilly
49746,49746,0yTZubQfCBny7zp4z5JuyZ,Frontliner;Marc Acardipane,Defqon.1 2017,Outside World 2009 - Outside Spacer Rmx,20,370371,False,0.613,0.771,11,-8.381,0,0.0639,0.00637,0.938,0.282,0.324,149.99,4,hardstyle
89535,89535,29PfVio5gxsc0ymzSXZArT,Guaynaa,Fiesta Reggaeton 2010s,Buyaka,1,153306,False,0.787,0.738,10,-4.649,0,0.261,0.187,0.0,0.0968,0.733,95.909,4,reggaeton
33216,33216,65u1dHQyQyE4y4aN2eDmMF,XXXTENTACION;Matt Ox,?,$$$ - with Matt Ox,63,130403,True,0.774,0.507,1,-6.952,0,0.065,0.0636,0.0,0.138,0.508,140.067,4,emo
63400,63400,3RoHAivw8gRyzlWDsvbFTB,SCANDAL,TEMPTATION BOX,瞬間センチメンタル,55,224626,False,0.502,0.953,2,-1.419,1,0.063,0.00831,0.0,0.432,0.695,167.908,4,j-rock
1755,1755,5RfNONcEtbhBEGwAiDjoEv,Ocote Soul Sounds;Chico Mann;Quantic,A Pesar La Vida / Not Yet,A Pesar La Vida,18,197500,False,0.496,0.753,9,-6.673,0,0.139,0.0204,0.0547,0.363,0.456,99.876,4,afrobeat
20324,20324,7b1JFWEOfZtN9HGCzvBOir,Marshmello;Anne-Marie,Autumn Hits,FRIENDS,3,202620,True,0.626,0.88,9,-2.384,0,0.0504,0.205,0.0,0.128,0.534,95.079,4,dance
95049,95049,5F6yFRSg4zp0PTWqwjVmcm,Tito Nieves,Ritmo Bonito,Fabricando Fantasías - Salsa Version,0,272266,False,0.726,0.857,9,-3.264,1,0.0424,0.243,0.0,0.108,0.928,90.74,4,salsa
3143,3143,3xpTUiMi6HdL0dWEKQdUTT,Mon Laferte;Enrique Bunbury,noches de lluvia,Mi Buen Amor,0,227586,False,0.403,0.533,7,-4.633,1,0.0271,0.589,5.01e-06,0.136,0.283,98.741,3,alternative
45147,45147,6pC4GKw5YXDfCbbn9DtS4Y,Cuco Sánchez,"Allá en el Rancho Grande, Vol. 20",Tu Solo Tu,30,200594,False,0.485,0.191,2,-11.534,1,0.0368,0.9,0.0,0.178,0.396,141.366,4,guitar
103343,103343,75CDuNCwcUf4CpOCIGyikr,The Jackson 5,The Very Best Christmas Songs 2022,I Saw Mommy Kissing Santa Claus,0,181360,False,0.582,0.705,3,-8.169,1,0.0539,0.29,1.38e-06,0.797,0.64,128.89,4,soul
48316,48316,2FjvG9IQg242g2LEornfjy,Funk Flex;Big Kap;DJ Mister Cee;The Notorious B.I.G.;2Pac,The Tunnel,"Biggie/Tupac Live Freestyle (Funkmaster Flex & Big Kap Feat. DJ Mister Cee, Notorious B.I.G & Tupac)",60,108973,True,0.57,0.941,4,-2.853,1,0.423,0.737,0.00274,0.112,0.814,188.625,4,hardcore
71050,71050,6k0X05danQOXSBTVek5DU1,SiM,The Rumbling,The Rumbling,73,220799,False,0.459,0.878,5,-1.399,0,0.0688,5.62e-05,0.000307,0.371,0.494,144.852,4,metal
11275,11275,3mlMpmY8oZIBFc39D9zLbh,The Beatles,Let It Be (Remastered),The Long And Winding Road - Remastered 2009,64,218186,False,0.299,0.329,3,-10.096,1,0.0279,0.756,0.0105,0.0559,0.392,132.282,4,british
93233,93233,2VncmhVohf0gU3ItvOy2Ao,Pyotr Leshchenko,Russian Popular Music in 78 Rpm Recordings / Pyotr Leshchenko,Katja katja - Foxtrot (1937),5,155386,False,0.696,0.545,0,-6.597,0,0.0448,0.983,0.0547,0.0739,0.909,128.634,4,romance
92603,92603,73m8WuJlhzVusTVzJCGaDZ,Elvis Presley,Elvis Is Back,Fever,54,212920,False,0.711,0.0939,1,-21.255,1,0.0486,0.742,0.0644,0.112,0.392,61.657,4,rockabilly
4908,4908,5pmxkW0gZrqq00Gy1aGZQv,Max Richter;Maksym Rzemiński;Radom Chamber Orchestra;Dawid Runtz,Maximus: The Greatest Movie Soundtracks,"On the Nature of Daylight (From ""Arrival"")",31,335653,False,0.108,0.0172,10,-27.017,0,0.0462,0.96,0.981,0.0882,0.0705,71.007,4,ambient
11944,11944,5o3uxnUfhD8550FTqMulln,John Rutter;The Cambridge Singers,Be Thou My Vision - Sacred Music by John Rutter,God be in my head,28,93813,False,0.162,0.0625,4,-30.218,1,0.0507,0.991,0.864,0.0871,0.0388,82.337,4,british
82376,82376,3LTd8XKx4Qfyl0KSTuvscH,Matthew Sweet,Blue Sky On Mars,Where You Get Love,23,215040,False,0.539,0.824,4,-7.648,1,0.0339,0.0016,0.000188,0.128,0.849,108.223,4,power-pop
109429,109429,0F5DJA5gUkR9YSPIP1lCl2,MOGUAI;Benny Benassi;Kryder,ACIIID (Kryder x Benny Benassi Remix),ACIIID - Kryder x Benny Benassi Remix,53,172913,False,0.593,0.96,10,-4.896,0,0.07,0.0431,0.766,0.245,0.448,126.998,4,techno
9774,9774,3GOkkTrUcv0ICSznFW2B8J,Kid Abelha,Meio Desligado (Acústico),Nada por mim - Acústico,45,166306,False,0.516,0.471,2,-10.508,1,0.0299,0.595,4.28e-06,0.785,0.361,128.183,4,brazil
60086,60086,2LlnYFReI1nqBITIoN3LLL,Chronic Law,Life Changes,Walk with Faith,19,210279,True,0.683,0.503,5,-7.783,0,0.343,0.637,0.0,0.183,0.483,92.888,4,j-dance
78534,78534,0bYymuvUzdTXtoXLjC3JiG,Die jungen Zillertaler,Die jungen Zillertaler Live,Die Goass is weg,29,164640,False,0.735,0.892,8,-4.86,1,0.0499,0.16,0.0,0.626,0.9,135.105,4,party
69351,69351,62YZgmkxQ64x3ZApd6oV7j,Fejo,Abhyasam Ariyatha Komali,Abhyasam Ariyatha Komali - Acoustic,0,223924,False,0.412,0.329,10,-10.184,1,0.0378,0.871,0.0,0.109,0.546,75.11,4,malay
13559,13559,6o9AJEcjsj3NpGhZLmzf7a,Ron Trent,Dance Floor Boogie Delites,DFBD Theme,8,289466,False,0.76,0.673,4,-9.64,0,0.0596,0.0837,0.747,0.0765,0.841,118.028,4,chicago-house
50376,50376,4MhkQd0Y0qSCAMncsoQnua,Carajo,Frente a Frente,Drama,26,224040,False,0.221,0.954,1,-4.46,1,0.125,0.000329,8.97e-06,0.215,0.331,170.934,4,heavy-metal
92346,92346,10poTYehx5Yg1W9bWNHs9D,Rebel Cats;Dr. Shenka,Rebel Cats Y Sus Amigos,Gato Rebelde,31,156213,False,0.503,0.982,9,-3.297,1,0.109,0.00317,9.82e-06,0.347,0.632,101.461,4,rockabilly
70756,70756,33LJXFLqeifw9YxsVoeOgM,JJ Lin,對的時間點,對的時間點,53,242613,False,0.394,0.493,1,-7.23,0,0.0307,0.65,0.0,0.0857,0.238,82.344,4,mandopop
106067,106067,6C253cNnjWuHuMn7b6Sag9,Ricky Rich;A Boogie Wit da Hoodie,Top Off Snap Hits,Habibi,0,162990,True,0.723,0.545,4,-6.26,0,0.049,0.0631,0.0,0.297,0.341,117.885,4,swedish
12852,12852,28tqalRVnTChRaXddTPkXy,my little airport,香港是個大商場,我是為了兩千蚊才到這裡表演,26,111295,False,0.605,0.327,7,-11.46,1,0.0453,0.771,0.106,0.146,0.324,122.957,4,cantopop
75879,75879,77NeUUVZdOnXUqeF6Iakb4,Jim Brickman,By Heart,By Heart,20,228053,False,0.41,0.254,5,-12.033,1,0.0284,0.484,0.0,0.126,0.289,131.556,4,new-age
103201,103201,7eqoqGkKwgOaWNNHx90uEZ,Frank Ocean,Blonde,Nights,80,307151,True,0.457,0.551,5,-9.36,0,0.167,0.427,1.15e-06,0.113,0.428,89.87,4,soul
104898,104898,2nN0GqJC6OFYbuL247xgMp,Mägo de Oz,Rarezas,El Que Quiera Entender Que Entienda (Radio Edit),26,364576,False,0.449,0.932,0,-4.57,1,0.136,0.0401,7.57e-05,0.215,0.339,151.801,4,spanish
39454,39454,1oFeXti9EanzUrHvWfRrfJ,Hans Zimmer,Interstellar (Original Motion Picture Soundtrack) [Expanded Edition],Dust,56,341395,False,0.112,0.123,4,-23.025,0,0.0433,0.964,0.696,0.103,0.0298,92.617,4,german
101042,101042,2L2YvETkpKiqo1f2SvYrrQ,White Noise for Babies,Thinned Phaser,Light Harmonic,0,191743,False,0.0885,0.108,1,-9.77,1,0.0421,0.865,0.993,0.292,0.0329,165.323,5,sleep
88542,88542,1ErVAnzjNvyXSodWbOTYNu,Greeicy;Anitta,Halloween 2022 Perreo Vol. 1,Jacuzzi,0,184106,False,0.821,0.736,0,-4.484,0,0.0669,0.0914,0.0,0.0542,0.941,93.008,4,reggae
64812,64812,1pZn8AX1WulW8IO338hE5D,Billie Holiday,Solitude,Blue Moon,65,207826,False,0.639,0.269,8,-11.435,1,0.0698,0.982,0.12,0.141,0.539,124.866,4,jazz
38837,38837,6kbGrMc4uXI3ojzxMEb65M,Mando Diao,I solnedgången,Vägen hem,26,216750,False,0.465,0.402,9,-8.386,0,0.0287,0.173,5.38e-05,0.433,0.303,109.993,3,garage
53647,53647,7GkCm4wRDhB0WhyOovlLfm,Years & Years,Fiesta de disfraces vol. II,Shine,0,255506,False,0.667,0.717,1,-5.21,0,0.0349,0.193,0.0,0.104,0.495,108.006,4,house
12848,12848,0boCKVrrTzJbceMG0aMSDy,Joyce Cheng;ANSONBEAN,@princejoyce (feat. ANSONBEAN),@princejoyce (feat. ANSONBEAN),19,194067,False,0.664,0.871,1,-4.198,1,0.0834,0.0137,0.0,0.469,0.502,135.12,4,cantopop
74372,74372,6LQeDlGAEm9vQ9kKLI2hlH,Chico César,Sobradinho,Sobradinho,43,137283,False,0.597,0.843,6,-4.842,0,0.049,0.267,0.0,0.26,0.553,82.036,4,mpb
76593,76593,2dU8bK1qqZWpZ0XTb2B1XG,Giacomo Puccini;Dame Joan Sutherland;Sir Peter Pears;Luciano Pavarotti;John Alldis Choir;London Philharmonic Orchestra;Zubin Mehta,Puccini: Turandot,"Turandot / Act 2: Gloria, gloria, o vincitore",22,247266,False,0.261,0.341,0,-11.898,1,0.0476,0.969,0.000295,0.368,0.0463,107.511,4,opera
76662,76662,6TTMOyQ0hddGKDf9NAB3vu,Sarah Brightman,Dreamchaser,One Day Like This,20,366400,False,0.317,0.482,10,-8.687,1,0.0315,0.444,0.0274,0.101,0.0901,79.722,4,opera
30111,30111,6IPNp9PfaEqrzotY47TIWy,DJ Snake;Ozuna;Megan Thee Stallion;LISA,"SG (with Ozuna, Megan Thee Stallion & LISA of BLACKPINK)","SG (with Ozuna, Megan Thee Stallion & LISA of BLACKPINK)",77,225600,True,0.8,0.837,6,-2.807,0,0.0491,0.00406,0.00313,0.0904,0.702,100.015,4,edm
41231,41231,5EdPgg8DrYLczPlGg0wWiU,Håkan Hellström,Ett kolikbarns bekännelser,Magasinsgatan,28,388080,False,0.255,0.856,9,-6.545,1,0.048,0.204,0.000111,0.0881,0.454,89.742,4,goth
65010,65010,7HPM13Xek5XoRWxRzHfvkB,Jubin Nautiyal;Meet Bros.;Shardul Rathod,Dil Galti Kar Baitha Hai,Dil Galti Kar Baitha Hai,67,273272,False,0.612,0.78,1,-5.123,0,0.0814,0.0781,0.0,0.0593,0.554,92.059,4,k-pop
12384,12384,6pTY7JBMYDSa7DWuRfJ9VH,Ekin Cheng,金碟鐵盒珍藏系列 - 鄭伊健,不要哭了 - Acoustic Version,23,240453,False,0.404,0.233,11,-9.749,1,0.0377,0.688,2.35e-05,0.107,0.274,160.484,4,cantopop
30237,30237,44ZcbH1W8X5OXc7ZQyKNVw,DJ Snake;J Balvin;Tyga,Esto me suena a Farra,Loco Contigo,0,185194,False,0.827,0.757,6,-2.985,0,0.0564,0.283,1.56e-06,0.102,0.374,95.983,4,edm
48699,48699,3oYj1UaQtkX0R9iuaV2jMj,Eterna Inocencia,No bien abran las flores,Hojas Amarillas,31,255905,False,0.576,0.709,2,-5.722,1,0.0327,0.00514,8.69e-05,0.125,0.579,140.003,4,hardcore
31294,31294,2bEj47sDxuBKf1aFPeqsT7,Alesso;Katy Perry,EDM Gaming Music Autumn/Winter 2022,When I'm Gone,0,161266,False,0.685,0.886,0,-4.179,1,0.034,0.028,0.0,0.481,0.615,125.034,4,electro
79525,79525,4uNQlDhz4fIKvjvdSESKou,Ed Chinaski,For Kate,For Kate,60,137519,False,0.315,0.0546,3,-28.225,1,0.0596,0.994,0.902,0.11,0.128,163.274,3,piano
72375,72375,6NYdAmvdebGyB2zASPBEKg,Currents,The Death We Seek,The Death We Seek,56,245719,False,0.209,0.944,4,-4.104,1,0.103,8.65e-06,0.1,0.404,0.247,113.301,4,metalcore
99113,99113,67qgsd4whaPzWZVZwqVHvZ,Bryan Adams,Weihnachten Playlist,Merry Christmas,0,151387,False,0.683,0.511,6,-5.598,1,0.0279,0.406,0.000197,0.111,0.598,109.991,3,singer-songwriter
113403,113403,4wiv0itDHcgSB8IjOxn4SA,Bethel Music;Cory Asbury;Naomi Raine,Homecoming (Live),Reason To Praise - Live,55,510726,False,0.274,0.573,7,-7.881,1,0.0391,0.0604,1.2e-06,0.537,0.223,126.319,3,world-music
53255,53255,5TX9vLC0E0ABNOBVBDtbzC,Zedd;Kehlani,pov: it's 2019,Good Thing,0,210901,True,0.693,0.565,1,-3.854,0,0.0378,0.396,0.0,0.0409,0.588,185.916,3,house
72468,72468,6Hye4TXeYUXzU0tWofYdhC,LANDMVRKS,Lost in the Waves,Lost in a Wave,55,224929,False,0.192,0.944,2,-4.769,1,0.0635,8.07e-05,2.5e-05,0.095,0.289,147.001,4,metalcore
34618,34618,7v1xAlV5uwWSawlbs6TdD7,Papon,Qarib Qarib Singlle,Tu Chale Toh,36,213968,False,0.503,0.514,6,-7.908,0,0.0656,0.655,1.25e-06,0.134,0.611,115.677,4,folk
30860,30860,4h8Pmw3RELdsanPjssyJoB,The Chainsmokers,World War Joy,Push My Luck,58,181853,False,0.563,0.645,2,-6.422,1,0.0428,0.293,0.0,0.202,0.523,89.976,4,edm
